Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova
Carrot peeled stewed (without salt),,0.2g,0.037g,VEGETABLES,CARROTS,Unprocessed/Minimally processed foods
Cauliflower tops and stems raw,,0.2g,0.03g,VEGETABLES,CAULIFLOWER,Unprocessed/Minimally processed foods
Cauliflower tops and stems boiled drained (without salt),,0.2g,0.023g,VEGETABLES,CAULIFLOWER,Unprocessed/Minimally processed foods
Celery stalk raw,,0.1g,0.028g,VEGETABLES,CELERY,Unprocessed/Minimally processed foods
Celery stalk boiled drained (without salt),,0.1g,0.023g,VEGETABLES,CELERY,Unprocessed/Minimally processed foods
Courgette green unpeeled raw,,0.3g,0.001g,VEGETABLES,CORGETTES,Unprocessed/Minimally processed foods
Courgette green unpeeled boiled drained (without salt),,0.3g,0.001g,VEGETABLES,CORGETTES,Unprocessed/Minimally processed foods
Cowpea leaves picked raw,,0.4g,0.031g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpea leaves picked boiled drained (without salt),,0.4g,0.022g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpea leaves picked steamed (without salt),,0.4g,0.023g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cucumber green unpeeled raw,,0.1g,0.022g,VEGETABLES,CUCUMBER,Unprocessed/Minimally processed foods
Eggplant Brinjal different varieties whole edible raw,,0.3g,0.003g,VEGETABLES,EGGPLANTS,Unprocessed/Minimally processed foods
Eggplant Brinjal different varieties whole edible boiled drained (without salt),,0.3g,0.002g,VEGETABLES,EGGPLANTS,Unprocessed/Minimally processed foods
Eggplant Brinjal different varieties whole edible stewed (without salt),,0.4g,0.004g,VEGETABLES,EGGPLANTS,Unprocessed/Minimally processed foods
Jute mallow picked leaves raw,,0.2g,0.018g,VEGETABLES,JUTE MALLOW (MRENDA),Unprocessed/Minimally processed foods
Jute mallow picked leaves boiled drained (without salt),,0.2g,0.014g,VEGETABLES,JUTE MALLOW (MRENDA),Unprocessed/Minimally processed foods
Jute mallow picked leaves stewed (without salt),,0.2g,0.023g,VEGETABLES,JUTE MALLOW (MRENDA),Unprocessed/Minimally processed foods
Kale Ethiopian (kanzera) leaves raw,,0.6g,0.007g,VEGETABLES,KALE (KANZERA),Unprocessed/Minimally processed foods
Kale Ethiopian (kanzera) leaves boiled drained (without salt),,0.6g,0.005g,VEGETABLES,KALE (KANZERA),Unprocessed/Minimally processed foods
Kale Ethiopian (kanzera) leaves steamed (without salt),,0.5g,0.005g,VEGETABLES,KALE (KANZERA),Unprocessed/Minimally processed foods
Kale (sukuma wiki) raw,,0.3g,0.071g,VEGETABLES,KALES (SUKUMA WIKI),Unprocessed/Minimally processed foods
Kale (sukuma wiki) boiled drained (without salt),,0.3g,0.051g,VEGETABLES,KALES (SUKUMA WIKI),Unprocessed/Minimally processed foods
Kale (sukuma wiki) steamed (without salt),,0.3g,0.053g,VEGETABLES,KALES (SUKUMA WIKI),Unprocessed/Minimally processed foods
Leeks bulb and stem raw,,0.4g,0.017g,VEGETABLES,ONIONS,Unprocessed/Minimally processed foods
Leeks bulb and stem boiled drained (without salt),,0.5g,0.011g,VEGETABLES,ONIONS,Unprocessed/Minimally processed foods
Lettuce not further defined raw,,0.2g,0.02g,VEGETABLES,LETTUCE,Unprocessed/Minimally processed foods
Mushroom fresh raw,,0.4g,0.008g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Mushroom fresh boiled drained (without salt),,0.5g,0.008g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Mushroom fresh stewed (without salt),,0.5g,0.01g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Mushroom dried raw,,2.9g,0.005g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Mushroom dried boiled drained (without salt),,1.6g,0.003g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Mushroom raw canned in brine (drained),,0.4g,0.3g,VEGETABLES,MUSHROOM,Unprocessed/Minimally processed foods
Okra fresh raw,,0.2g,0.008g,VEGETABLES,OKRA,Unprocessed/Minimally processed foods
Okra fresh boiled drained (without salt),,0.2g,0.005g,VEGETABLES,OKRA,Unprocessed/Minimally processed foods
Okra fresh stewed (without salt),,0.2g,0.007g,VEGETABLES,OKRA,Unprocessed/Minimally processed foods
Pumpkin flesh yellow w o seeds raw,,0.2g,0.014g,VEGETABLES,PUMPKIN,Unprocessed/Minimally processed foods
Pumpkin flesh yellow w o seeds boiled drained (without salt),,0.2g,0.011g,VEGETABLES,PUMPKIN,Unprocessed/Minimally processed foods
Pumpkin leaves raw,,0.7g,0.012g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Pumpkin leaves boiled drained (without salt),,0.7g,0.009g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Pumpkin leaves steamed (without salt),,0.6g,0.009g,VEGETABLES,MITHO (PUMPKIN LEAVES),Unprocessed/Minimally processed foods
Spider plant leaves raw,,0.8g,0.019g,VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods
Spider plant leaves boiled drained (without salt),,0.7g,0.013g,VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods
Spider plant leaves steamed (without salt),,0.7g,0.014g,VEGETABLES,SAGET (SPIDER PLANT),Unprocessed/Minimally processed foods
Spinach leaves raw,,0.4g,0.059g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Spinach leaves boiled drained (without salt),,0.4g,0.046g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Spinach leaves stewed (without salt),,0.4g,0.072g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Spinach Swiss chard leaves raw,,0.2g,0.892g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Spinach Swiss chard leaves boiled drained (without salt),,0.2g,0.704g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Spinach Swiss chard leaves stewed (without salt),,0.3g,1.101g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Squash butternut peeled flesh raw,,0.1g,0.0077g,VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods
Squash butternut peeled flesh boiled drained (without salt),,0.1g,0.007g,VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods
Squash butternut peeled flesh steamed (without salt),,0.1g,0.007g,VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods
Squash butternut peeled flesh baked (without salt),,0.1g,0.009g,VEGETABLES,BUTTER NUT,Unprocessed/Minimally processed foods
Stinging nettle leaves raw,,0.7g,0.036g,VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods
Stinging nettle leaves boiled drained (without salt),,0.7g,0.026g,VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods
Stinging nettle leaves steamed (without salt),,0.6g,0.027g,VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods
Sweet Potato (Leaves),,0.5g,0.006g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Tomato green raw,,0.2g,0.013g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Tomato green boiled drained (without salt),,0.3g,0.013g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Tomato red ripe raw,,0.2g,0.021g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Tomato red ripe boiled drained (without salt),,0.3g,0.02g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Tomato canned whole contents,,0.1g,0.068g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Vine (African) spinach picked leaves raw,,0.7g,0.008g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Vine (African) spinach picked leaves boiled drained (without salt),,0.7g,0.006g,VEGETABLES,SPINACH,Unprocessed/Minimally processed foods
Apple green skin unpeeled raw,,0g,0.002g,FRUITS,APPLES,Unprocessed/Minimally processed foods
Apple red unpeeled raw,,0.1g,0.001g,FRUITS,APPLES,Unprocessed/Minimally processed foods
Avocado ripe raw,,19.6g,0.007g,FRUITS,AVOCADO,Unprocessed/Minimally processed foods
Banana cavendish raw,,0.3g,0g,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods
Baobab fruit powderly part dry raw,,0.4g,0.056g,DRIED FRUITS,BAOBAB FRUIT,Unprocessed/Minimally processed foods
Custard apple peeled raw,,0.7g,0.003g,FRUITS,CUSTARD APPLE,Unprocessed/Minimally processed foods
Date dried,,0.2g,0.014g,DRIED FRUITS,DATES,Unprocessed/Minimally processed foods
Date raw,,0.1g,0.007g,DRIED FRUITS,DATES,Unprocessed/Minimally processed foods
Doumpalm fruit raw,,0.7g,0.00047g,FRUITS,DOUM PALM,Unprocessed/Minimally processed foods
Grapes green raw,,0.1g,0.003g,FRUITS,GRAPES,Unprocessed/Minimally processed foods
Guava pink fleshed raw,,1.1g,0.001g,FRUITS,GUAVAS,Unprocessed/Minimally processed foods
Jackfruit fruit yellow fleshed peeled raw,,0.2g,0.002g,FRUITS,JACKFRUIT,Unprocessed/Minimally processed foods
Lemon juice home squeezed,,0.2g,0.002g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Lemon peel raw,,0.3g,0.006g,HERBS AND SPICES,SPICES - LEMON PEEL,Unprocessed/Minimally processed foods
Lemon pulp raw,,0.2g,0.002g,FRUITS,LEMONS,Unprocessed/Minimally processed foods
Lime juice,,0.2g,0.003g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Lime pulp raw,,0.2g,0.003g,FRUITS,LIME,Unprocessed/Minimally processed foods
Loquat peeled raw,,0.2g,0.002g,FRUITS,LOQUAT,Unprocessed/Minimally processed foods
Mango ripe raw,,0.3g,0.001g,FRUITS,MANGOES,Unprocessed/Minimally processed foods
Mango unripe raw,,0.1g,0.026g,FRUITS,MANGOES,Unprocessed/Minimally processed foods
Mulberry raw,,0.2g,0.006g,FRUITS,BERRIES,Unprocessed/Minimally processed foods
Orange Juice,,0.1g,0.002g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Orange pulp raw,,0.2g,0.005g,FRUITS,ORANGES,Unprocessed/Minimally processed foods
Papaya yellow skin peeled raw,,0.3g,0.004g,FRUITS,PAW PAWS,Unprocessed/Minimally processed foods
Passion fruit dark purple skin raw,,0.9g,0.019g,FRUITS,PASSION FRUITS,Unprocessed/Minimally processed foods
Passion Fruit juice,,0.1g,0.01g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Peach yellow fleshed unpeeled raw,,0.1g,0.002g,FRUITS,PEACHES,Unprocessed/Minimally processed foods
Pear unpeeled raw,,0.2g,0.001g,FRUITS,PEARS,Unprocessed/Minimally processed foods
Pineapple canned in syrup whole contents,,0.6g,0.006g,FRUITS,PINEAPPLE,Unprocessed/Minimally processed foods
Pineapple raw,,0.2g,0.001g,FRUITS,PINEAPPLE,Unprocessed/Minimally processed foods
Plum purple skin raw,,0.1g,0.001g,FRUITS,PLUMS,Unprocessed/Minimally processed foods
Pomegranate raw,,0.2g,0.004g,FRUITS,POMEGRANATE,Unprocessed/Minimally processed foods
Raspberry raw,,0.2g,0.001g,FRUITS,BERRIES,Unprocessed/Minimally processed foods
Strawberry raw,,0.2g,0.003g,FRUITS,BERRIES,Unprocessed/Minimally processed foods
Tangerine juice non commercial,,0.2g,0.001g,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
Tangerine pulp raw,,0.2g,0.002g,FRUITS,ORANGES,Unprocessed/Minimally processed foods
Tree tomato dark red skin peeled raw,,0.3g,0.02g,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
Watermelon fruit green with white stripes raw,,0.3g,0.002g,FRUITS,WATER MELONS,Unprocessed/Minimally processed foods
Zambarau peeled raw,,0.4g,0.011g,FRUITS,ZAMBARAU/JAMUN,Unprocessed/Minimally processed foods
Butter (cow milk) no added salt (~80 fat),,81.3g,0.01g,COOKING FAT,VEGETABLE FAT,Processed foods
Butter (cow milk) salted (~ fat),,81.3g,0.776g,COOKING FAT,VEGETABLE FAT,Processed foods
Cheese cheddar regular fat,,32.8g,0.6g,CHEESE,CHEDDAR CHEESE,Processed foods
Cheese cottage (cow milk) plain skimmed,,2.5g,0.45g,CHEESE,COTTAGE CHEESE,Processed foods
Cheese cottage (cow milk) plain whole,,5.7g,0.277g,CHEESE,COTTAGE CHEESE,Processed foods
Cheese cottage Milk Cow Sour,,4.3g,0.364g,CHEESE,COTTAGE CHEESE,Processed foods
Cream pure fat,,23.6g,0.04g,COOKING FAT,CREAM (DAIRY),Processed Culinary Ingredients
Ghee (cow milk),,99.9g,0.002g,COOKING FAT,GHEE,Processed Culinary Ingredients
Ice cream caramel flavour regular fat,,10.6g,0.048g,ICE CREAM,ICE CREAM,Ultra-processed foods
Ice cream chocolate flavour regular fat,,12g,0.071g,ICE CREAM,ICE CREAM,Ultra-processed foods
Ice cream strawberry flavour regular fat,,9.5g,0.054g,ICE CREAM,ICE CREAM,Ultra-processed foods
Ice cream vanilla flavour regular fat,,10.6g,0.064g,ICE CREAM,ICE CREAM,Ultra-processed foods
Ice cream vanilla flavour with nuts regular fat,,12.2g,0.047g,ICE CREAM,ICE CREAM,Ultra-processed foods
Milk camel whole fresh raw,,2.8g,0.119g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk camel whole fresh boiled,,3.3g,0.14g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk cow condensed skimmed sweetened raw,,0.2g,0.125g,MILK DRINKS,FLAVOURED MILK,Processed foods
Milk cow condensed whole sweetened raw,,9.2g,0.13g,MILK DRINKS,FLAVOURED MILK,Processed foods
Milk cow powder skimmed,,0.9g,0.55g,MILK POWDER,SKIMMED MILK POWDER,Processed foods
Milk cow powder whole,,26.4g,0.44g,MILK POWDER,WHOLE MILK POWDER,Processed foods
Milk cow skimmed raw,,0.1g,0.044g,MILK DRINKS,SKIMMED MILK,Unprocessed/Minimally processed foods
Milk cow skimmed boiled,,0.1g,0.052g,MILK DRINKS,SKIMMED MILK,Unprocessed/Minimally processed foods
Milk cow whole fermented (Lala Industrial),,4.1g,0.036g,FLAVOURED FERMENTED MILK,FERMENTED MILK (LALA/MURSIK),Processed foods
Milk cow whole fermented (Lala mursik),,3.5g,0.022g,FLAVOURED FERMENTED MILK,FERMENTED MILK (LALA/MURSIK),Processed foods
Milk cow whole fresh raw,,3.5g,0.039g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk cow whole fresh boiled,,4.2g,0.045g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk goat fluid whole raw,,4.5g,0.057g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk goat fluid whole boiled,,5.3g,0.068g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk human breast mature fluid,,4.4g,0.014g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk sheep fluid whole raw,,5.8g,0.044g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Milk sheep fluid whole boiled,,6.8g,0.052g,MILK DRINKS,FRESH MILK,Unprocessed/Minimally processed foods
Yoghurt cow milk whole plain,,3.1g,0.032g,FLAVOURED FERMENTED MILK,YOGURT (PLAIN),Processed foods
Beef high fat w o bones raw,,24.1g,0.083g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef high fat w o bones boiled (without salt),,30.8g,0.062g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef high fat w o bones grilled (without salt and fat),,28g,0.098g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef high fat w o bones stewed (without salt),,37.6g,0.058g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef lean raw,,2.3g,0.107g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef lean boiled (without salt),,4.6g,0.099g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef lean grilled (without salt and fat),,3.1g,0.127g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef lean stewed (without salt),,4.3g,0.091g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef liver raw,,4.2g,0.075g,ORGAN MEAT,LIVER,Unprocessed/Minimally processed foods
Beef liver boiled (without salt),,6.4g,0.068g,ORGAN MEAT,LIVER,Unprocessed/Minimally processed foods
Beef medium fat w o bones raw,,7.2g,0.121g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef medium fat without bones boiled (without salt),,7.4g,0.091g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef medium fat without bones grilled (without salt and fat),,7.3g,0.143g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Beef medium fat without bones stewed (without salt),,11.3g,0.085g,RED MEAT,BEEF,Unprocessed/Minimally processed foods
Camel blood raw,,0.9g,0.313g,ORGAN MEAT,BLOOD,Unprocessed/Minimally processed foods
Camel Meat,,8.9g,0.049g,PROCESSED MEAT,CAMEL,Processed foods
Cow s blood raw,,0.9g,0.469g,ORGAN MEAT,BLOOD,Unprocessed/Minimally processed foods
Duck meat and skin fresh raw,,21.2g,0.082g,POULTRY,DUCK,Unprocessed/Minimally processed foods
Chicken unespecified part w o bone meat skin raw,,13g,0.068g,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
Chicken unspecified part w o bone meat skin boiled (without salt),,14.6g,0.034g,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
Chicken unspecified part w o bone meat skin grilled (without salt and fat),,14.7g,0.07g,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
Egg chicken white (albumen) raw,,0g,0.143g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken white (albumin) boiled (without salt),,0g,0.135g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken whole raw,,8.1g,0.155g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken whole boiled (without salt),,8.1g,0.147g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken whole poached (without salt),,9.2g,0.167g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken yolk raw,,28.2g,0.05g,EGGS,EGGS,Unprocessed/Minimally processed foods
Egg chicken yolk boiled (without salt),,28.2g,0.048g,EGGS,EGGS,Unprocessed/Minimally processed foods
Goat blood raw,,3.9g,0.216g,ORGAN MEAT,BLOOD,Unprocessed/Minimally processed foods
Goat lean raw,,4.3g,0.156g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Goat lean boiled (without salt),,6.4g,0.137g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Goat lean grilled (without salt and fat),,6.2g,0.189g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Goat liver raw,,3.9g,0.064g,ORGAN MEAT,LIVER,Unprocessed/Minimally processed foods
Goat liver boiled (without salt),,6g,0.058g,ORGAN MEAT,LIVER,Unprocessed/Minimally processed foods
Goat medium fat raw,,8.6g,0.121g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Goat medium fat boiled (without salt),,9.4g,0.106g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Goat medium fat grilled (without salt and fat),,9.3g,0.147g,RED MEAT,GOAT,Unprocessed/Minimally processed foods
Guinea fowl meat with skin,,3.2g,0.058g,POULTRY,GUINEA FOWL,Unprocessed/Minimally processed foods
Lamb liver raw,,7.5g,0.067g,RED MEAT,LAMB,Unprocessed/Minimally processed foods
Lamb liver boiled (without salt),,7.8g,0.061g,RED MEAT,LAMB,Unprocessed/Minimally processed foods
Lamb raw (unspecified part),,22.7g,0.06g,RED MEAT,LAMB,Unprocessed/Minimally processed foods
Lamb unspecified part boiled (without salt),,26.9g,0.054g,RED MEAT,LAMB,Unprocessed/Minimally processed foods
Lamb unspecified part grilled (without salt and fat),,26.6g,0.074g,RED MEAT,LAMB,Unprocessed/Minimally processed foods
Pork meat raw (unspecified part),,23.5g,0.058g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Pork meat unspecified part boiled (without salt),,28.6g,0.04g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Pork meat unspecified part grilled (without salt and fat),,27.6g,0.075g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Rabbit meat raw,,4.8g,0.053g,RED MEAT,RABBIT,Unprocessed/Minimally processed foods
Rabbit meat stewed (without salt),,7.1g,0.047g,RED MEAT,RABBIT,Unprocessed/Minimally processed foods
Rabbit meat roasted (without salt and fat),,5.5g,0.051g,RED MEAT,RABBIT,Unprocessed/Minimally processed foods
Sausage beef raw,,16.3g,0.679g,PROCESSED MEAT,SAUSAGE,Ultra-processed foods
Sausage beef grilled (without salt and fat),,17g,0.815g,PROCESSED MEAT,BEEF,Processed foods
Sausage frankfurters,,25g,1g,PROCESSED MEAT,SAUSAGE,Ultra-processed foods
Sausage frankfurters boiled (without salt),,25.3g,0.876g,PROCESSED MEAT,SAUSAGE,Ultra-processed foods
Sausage liver raw,,28.5g,0.9g,PROCESSED MEAT,SAUSAGE,Ultra-processed foods
Sausage liver grilled (without salt and fat),,33.3g,1.08g,PROCESSED MEAT,SAUSAGE,Ultra-processed foods
Sausage pork raw,,32g,0.72g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Sausage pork boiled (without salt),,33.6g,0.665g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Sausage pork grilled (without salt and fat),,39g,0.9g,RED MEAT,PORK,Unprocessed/Minimally processed foods
Quail flesh skin raw,,11.5g,0.049g,POULTRY,QUAIL,Unprocessed/Minimally processed foods
Cod fillet raw,,0.6g,0.079g,PROCESSED FISH,COD,Unprocessed/Minimally processed foods
Cod fillet steamed (without salt),,0.7g,0.082g,PROCESSED FISH,COD,Unprocessed/Minimally processed foods
Cod fillet grilled (without salt and fat),,0.8g,0.09g,PROCESSED FISH,COD,Unprocessed/Minimally processed foods
Cod fillet boiled in recipe (without salt and fat),,0.7g,0.097g,PROCESSED FISH,COD,Unprocessed/Minimally processed foods
Dagaa fish (omena) dried raw,,10.6g,0.3g,PROCESSED FISH,DAGAA/OMENA,Unprocessed/Minimally processed foods
Dagaa fish (omena) dried stewed (without salt),,4.8g,0.136g,PROCESSED FISH,DAGAA/OMENA,Unprocessed/Minimally processed foods
Eel raw,,11.7g,0.0705g,PROCESSED FISH,EEL,Unprocessed/Minimally processed foods
Eel steamed (without salt),,12.6g,0.072g,PROCESSED FISH,EEL,Unprocessed/Minimally processed foods
Eel grilled (without salt and fat),,13.1g,0.078g,PROCESSED FISH,EEL,Unprocessed/Minimally processed foods
Eel boiled in recipe (without salt and fat),,14g,0.085g,PROCESSED FISH,EEL,Unprocessed/Minimally processed foods
Herring stock raw,,4.3g,0.095g,PROCESSED FISH,HERRING,Unprocessed/Minimally processed foods
Herring stock steamed (without salt),,5.2g,0.097g,PROCESSED FISH,HERRING,Unprocessed/Minimally processed foods
Herring stock grilled (without salt),,5.6g,0.105g,PROCESSED FISH,HERRING,Unprocessed/Minimally processed foods
Herring stock boiled in recipe (without salt and fat),,5.2g,0.114g,PROCESSED FISH,HERRING,Unprocessed/Minimally processed foods
Lungfish fillet raw,,1g,0.091g,PROCESSED FISH,LUNGFISH,Unprocessed/Minimally processed foods
Lungfish fillet steamed (without salt),,1.2g,0.093g,PROCESSED FISH,LUNGFISH,Unprocessed/Minimally processed foods
Lungfish fillet grilled (without salt and fat),,1.3g,0.1g,PROCESSED FISH,LUNGFISH,Unprocessed/Minimally processed foods
Lungfish fillet boiled in recipe (without salt and fat),,1.2g,0.109g,PROCESSED FISH,LUNGFISH,Unprocessed/Minimally processed foods
Mudfish (kamongo) fillet raw,,3.5g,0.041g,PROCESSED FISH,MUDFISH (KAMONGO),Unprocessed/Minimally processed foods
Mudfish (kamongo) fillet steamed (without salt),,4.2g,0.042g,PROCESSED FISH,MUDFISH (KAMONGO),Unprocessed/Minimally processed foods
Mudfish (kamongo) fillet grilled (without salt and fat),,4.5g,0.045g,PROCESSED FISH,MUDFISH (KAMONGO),Unprocessed/Minimally processed foods
Mudfish (kamongo) fillet boiled in recipe (without salt and fat),,4.2g,0.049g,PROCESSED FISH,MUDFISH (KAMONGO),Unprocessed/Minimally processed foods
Mackerel raw,,5.9g,0.066g,PROCESSED FISH,MACKEREL,Unprocessed/Minimally processed foods
Nile perch dry raw,,10.7g,0.376g,PROCESSED FISH,NILE PERCH,Unprocessed/Minimally processed foods
Nile perch fillet w o bones raw,,0.9g,0.097g,PROCESSED FISH,NILE PERCH,Unprocessed/Minimally processed foods
Nile tilapia fillet w o skin and bones raw,,1.5g,0.064g,PROCESSED FISH,TILAPIA,Unprocessed/Minimally processed foods
Prawns flesh raw,,1.1g,0.191g,PROCESSED FISH,PRAWNS/SHRIMP,Unprocessed/Minimally processed foods
Prawns fresh steamed (without salt),,1.3g,0.196g,PROCESSED FISH,PRAWNS/SHRIMP,Unprocessed/Minimally processed foods
Prawns fresh grilled (without salt and fat),,1.3g,0.223g,PROCESSED FISH,PRAWNS/SHRIMP,Unprocessed/Minimally processed foods
Prawns fresh boiled in recipe (without salt and fat),,1.3g,0.196g,PROCESSED FISH,PRAWNS/SHRIMP,Unprocessed/Minimally processed foods
Sardine flesh raw,,7.4g,0.038g,PROCESSED FISH,SARDINES,Unprocessed/Minimally processed foods
Sardine fresh steamed (without salt),,7.4g,0.038g,PROCESSED FISH,SARDINES,Unprocessed/Minimally processed foods
Sardine fresh grilled (without salt and fat),,7.5g,0.045g,PROCESSED FISH,SARDINES,Unprocessed/Minimally processed foods
Sardine fresh boiled in recipe (without salt and fat),,8.7g,0.045g,PROCESSED FISH,SARDINES,Unprocessed/Minimally processed foods
Shark raw,,0.8g,0.06363g,PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods
Shark steamed (without salt),,1g,0.065g,PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods
Shark grilled (without salt and fat),,1.1g,0.07g,PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods
Shark boiled in recipe (without salt and fat),,1g,0.077g,PROCESSED FISH,SHARK,Unprocessed/Minimally processed foods
Tuna raw,,2g,0.05g,PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods
Tuna steamed (without salt),,2.5g,0.053g,PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods
Tuna grilled (without salt and fat),,2.7g,0.057g,PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods
Tuna boiled in recipe (without salt and fat),,2.5g,0.063g,PROCESSED FISH,TUNA (FRESH),Unprocessed/Minimally processed foods
Animal fat lard,,99g,0.002g,COOKING FAT,LARD/ANIMAL FAT,Processed Culinary Ingredients
Corn oil,,99.9g,0g,COOKING OIL,CORN/MAIZE OIL,Processed Culinary Ingredients
Fish liver oil,,100g,0g,COOKING OIL,FISH LIVER OIL,Processed Culinary Ingredients
Margarine fat,,19.5g,0.733g,COOKING FAT,MARGARINE,Ultra-processed foods
Mustard seed oil,,100g,0g,HERBS AND SPICES,SPICES - MUSTARD,Unprocessed/Minimally processed foods
Olive oil,,100g,0g,COOKING OIL,OLIVE OIL,Processed Culinary Ingredients
Peanut oil,,100g,0g,"PULSES - PEAS, LENTILS, BEANS",RAW PEANUTS,Unprocessed/Minimally processed foods
